img,title,board,save,crc
001,GunPey,PTE-0012A,E,A1656BBB
002,Puyo Puyo Street,PTE-0012A,-,5A41A7BA
003,The sparrow climbs the dragon's gate,PTE-0016,S,C2ED122E
004,Nobunaga's Ambition,PTE-0016,S,4531734
005,GO by train!,PTE-0012A,-,B62E5DD0
006,Digital Monster Ver. WonderSwan,PTE-0016,S,AB59DE2E
007,New Japan Pro Wrestling Toukon Retsuden,PTE-0012A,E,5B76F901
008,wonder stadium,PTE-0037,S,23BC0309
009,Chocobo's Mysterious Dungeon,PTE-0037,S,A607A350
010,Romance of the Three Kingdoms,PTE-0037,S,E385EE88
011,Let's go sea fishing!,PTE-0012A,-,86B56511
012,Ninja Jajamaru-kun,PTE-0012A,-,A193458C
013,Shanghai Pocket,PTE-0037,S,1C489351
014,"TANGO, the king of language",PTE-0012A,-,1.37E+88
015,Nice On,PTE-0012A,E,B5DBCF12
016,Beat Mania,PTE-0016,S,324622C9
017,Chocobo's Mysterious Dungeon,PTE-0037,S,CCAA4853
019,Parenting quiz anywhere my angel,PTE-0016,S,4C48624C
020,Medarot Perfect Edition Kabuto Version,PTE-0016,S,12FB8B28
021,Medarot Perfect Edition Stag Beetle Version,PTE-0016,S,2B40745D
022,Space Invaders,PTE-0012A,-,8D83014F
023,Super Robot Wars COMPACT,PTE-0037,S,8A8C5AA8
024,Klonoa of the Wind Moonlight Museum,PTE-0037,S,80C6EF12
025,The Last Stand,PTE-0037,S,CCCAF8A1
026,SD Gundam Emotional Jam,PTE-0037,S,AE83F873
027,Chocobo's Mysterious Dungeon,PTE-0037,S,AA53971D
028,The sparrow climbs the dragon's gate,PTE-0016,S,E7E7FD4C
029,Super Robot Wars COMPACT,PTE-0037,S,7572E478
030,Tekken Card Challenge,PTE-0037,S,E7C608E5
031,Chaos Gear Guided,PTE-0037,S,27B3CC18
032,Trump Collection Bottom-up Trump Life,PTE-0032,-,C283EC5F
033,Anchor's Field,PTE-0037,S,425EB893
034,puzzle bobble,PTE-0032,E,F504CD84
035,Vyts Blade,PTE-0037,S,8FC9E145
036,Officially recognized by Japan Professional Mahjong Federation Tetsuman,PTE-0037,S,44B3E67C
037,Super Robot Wars COMPACT,PTE-0037,S,7021D54F
038,Crazy Climber,PTE-0012A,-,0CB57376
039,Ghosts 'n Goblins / Makaimura,PTE-0037,S,00B31FBB
040,Neon Genesis Evangelion Shito Training,PTE-0037,S,BF8D9212
041,Mobile Suit GUNDAM MSVS,PTE-0037,S,53B9FEF8
042,TERRORS,PTE-0037,S,EF5B6B82
043,Detective Conan: The Magician's Challenge!,PTE-0037,S,92FBF7FB
044,Let's play soccer! Challenge The World,PTE-0012A,-,1263DA65
045,Horse racing prediction support software prediction evolution theory,PTE-0037,S,517F962E
046,Bistro Recipe Wonder Battle Edition,PTE-0037,S,4D103236
